Season,Train_N,Train_M,Accuracy,LogLoss,Brier,N_Bets,Hit_Rate,Flat_ROI,Kelly_ROI,Flat_PnL,Kelly_PnL
2012,2,760,0.5263157894736842,0.970983641370224,0.21929357637531666,60,0.5666666666666667,0.16183333333333333,0.08384252077853903,97.1,197.8596425242557
2013,3,1140,0.5,0.9836857667610583,0.21582274696246517,45,0.4666666666666667,0.024666666666666653,-0.03674761699255215,11.099999999999994,-61.89783843589295
2014,4,1520,0.5368421052631579,0.9602616067825429,0.2025122079558909,15,0.5333333333333333,-0.03266666666666667,-0.12838773089110633,-4.9,-78.99671267058413
2015,5,1900,0.5236842105263158,0.9848496871280734,0.21661157121107136,15,0.4666666666666667,-0.16133333333333336,-0.19102961285384823,-24.200000000000003,-105.48296928061606
2016,5,1900,0.5684210526315789,1.020585436719593,0.2063533525473391,30,0.6666666666666666,0.2063333333333333,0.09212571530288013,61.89999999999999,109.29146826280123
2017,5,1900,0.5263157894736842,0.9874181304495909,0.2219117368193821,65,0.6,0.1427692307692308,0.08120722926538669,92.80000000000001,250.74505097515427
2018,5,1900,0.4763157894736842,1.0335080872226983,0.2280286436616616,15,0.4,-0.18866666666666665,-0.2114931589125464,-28.299999999999997,-156.3323357855316
2019,5,1900,0.48947368421052634,1.024781946646602,0.23016237993506744,15,0.26666666666666666,-0.52,-0.5504857191372488,-78.0,-307.6386978436265
2020,5,1900,0.5131578947368421,1.1138971679901006,0.2178429494708653,20,0.55,-0.03099999999999998,-0.01099367726118035,-6.199999999999996,-8.290878254680035
2021,5,1900,0.49736842105263157,1.009850520019206,0.2179279260307129,15,0.6,-0.062000000000000006,-0.15430495657577,-9.3,-74.98692411213055
2022,5,1900,0.5394736842105263,1.0949544544524001,0.2353094727454555,15,0.3333333333333333,-0.432,-0.264964881486964,-64.8,-101.88494295561244
2023,5,1900,0.5131578947368421,0.973769974263972,0.20611062876480826,15,0.4666666666666667,-0.07866666666666666,0.12832096894812722,-11.799999999999999,43.809302546013626
2024,5,1900,0.5157894736842106,0.9828816763722644,0.21298931666791174,19,0.631578947368421,0.2821052631578948,0.16121621777122577,53.60000000000001,55.045711755356145
