Period,Season,Half,N_Bets,Hit_Rate,Flat_ROI,Flat_PnL
2012-H1,2012,H1,30,0.6,0.2367,71.0
2012-H2,2012,H2,25,0.44,-0.0632,-15.8
2013-H1,2013,H1,18,0.556,0.2117,38.1
2013-H2,2013,H2,20,0.45,-0.0375,-7.5
2014-H1,2014,H1,13,0.538,-0.0123,-1.6
2014-H2,2014,H2,17,0.647,0.2288,38.9
2015-H1,2015,H1,15,0.467,-0.1613,-24.2
2015-H2,2015,H2,21,0.619,0.1052,22.1
2016-H1,2016,H1,11,0.727,0.3218,35.4
2016-H2,2016,H2,21,0.571,0.0762,16.0
2017-H1,2017,H1,30,0.667,0.2657,79.7
2017-H2,2017,H2,24,0.542,0.0558,13.4
2018-H1,2018,H1,15,0.4,-0.1887,-28.3
2018-H2,2018,H2,15,0.4,-0.2413,-36.2
2019-H1,2019,H1,15,0.267,-0.52,-78.0
2019-H2,2019,H2,15,0.467,-0.136,-20.4
2020-H1,2020,H1,20,0.55,-0.031,-6.2
2020-H2,2020,H2,15,0.467,-0.2107,-31.6
2021-H1,2021,H1,15,0.6,-0.062,-9.3
2021-H2,2021,H2,26,0.577,-0.0212,-5.5
2022-H1,2022,H1,14,0.286,-0.5629,-78.8
2022-H2,2022,H2,15,0.6,0.0427,6.4
2023-H1,2023,H1,15,0.467,-0.0787,-11.8
2023-H2,2023,H2,15,0.533,-0.0587,-8.8
2024-H1,2024,H1,6,0.667,0.4283,25.7
2024-H2,2024,H2,17,0.529,0.0024,0.4
